Sample Name,Lab Number,Date,Sample Label,UTM east,UTM north,Elevation,Temp C,pH,Li,Na,K,Ca,Mg,SiO2,B,Cl,F,SO4,HCO3,CO3,NH4,As,Rb,Cs,Sr,Ba,Fe,Mn
MC-1  11/12/1983,,,,,,0,,8.3,3.1,1180,100,29,1.3,320,12,2020,1.8,150,36,,0.1,0.7,,,,,,
MC-1  18/12/1983  0900,,,,,,0,,8.4,2.8,1050,89,27,1.1,280,12,2010,1.7,130,43,,0.1,0.7,,,,,,
MC-1  18/12/1983,,,,,,0,,8.3,2.7,980,86,25,1.1,260,10,1550,1.5,120,29,,0.1,0.7,,,,,,
MC-1  25/12/1983  0900,,,,,,0,,8.4,3.3,1300,110,31,1.4,340,15,2020,2.1,130,42,,0.1,0.8,,,,,,
MC-1  25/12/1983,,,,,,0,,8.3,3.5,1290,110,33,1.4,360,13,2030,2,140,38,,0.1,0.8,,,,,,
MC-1  01/01/1984  0900,,,,,,0,,8.4,3.4,1290,110,32,1.3,340,14,2010,2.1,130,42,,0.1,0.8,,,,,,
MC-1  01/01/1984,,,,,,0,,8.4,3.5,1290,110,32,1.4,350,13,2030,2,140,35,,0.1,0.8,,,,,,
MC-1  12/01/1984  0900,,,,,,0,,8.4,3.3,1300,110,32,1.4,350,14,2010,2.1,130,42,,0.1,0.9,,,,,,
MC-1  15/01/1984  ,,,,,,0,,8.3,3.5,1310,110,33,1.4,350,14,2030,2,140,36,,0.1,0.8,,,,,,
MC-1  22/01/1984  0900,,,,,,0,,8.4,3.3,1310,110,31,1.3,350,14,2020,2.1,130,41,,0.1,0.8,,,,,,
MC-1  22/01/1984,,,,,,0,,8.4,3.5,1310,110,33,1.3,350,14,2020,2,140,36,,0.1,0.9,,,,,,
MC-1  29/01/1984  0900,,,,,,0,,8.4,3.3,1290,110,31,1.3,360,15,2010,2.1,130,42,,0.1,0.9,,,,,,
MC-1  29/01/1984,,,,,,0,,8.2,3.2,1230,91,46,1,310,13,2010,2,140,36,,0.2,0.9,,,,,,
MC-1  15/07/1984,,,,,,0,,8.6,3.4,1370,120,37,0.8,360,15,2140,2,130,21,,0.2,1,,,,,,
MC-1  25/07/1984,,,,,,0,,8.6,3.4,1370,120,35,0.8,360,15,2160,2.2,130,18,,0.1,1,,,,,,
MC-1  31/07/1984,,,,,,0,,8.4,3.4,1360,120,38,0.8,360,15,2150,2.1,130,29,,0.2,1,,,,,,
MC-1  09/08/1984,,,,,,0,,8.4,3.4,1380,120,38,0.8,360,15,2150,2.2,130,28,,0.1,1,,,,,,
MC-1  15/08/1984,,,,,,0,,8.4,3.4,1370,120,38,0.9,370,15,2140,2.3,120,26,,0.2,1,,,,,,
MC-1  23/08/1984,,,,,,0,,8.4,3.5,1370,120,38,0.9,370,15,2150,2.3,120,36,,0.1,0.9,,,,,,
MC-1  31/08/1984,,,,,,0,,8.4,3.5,1370,130,37,0.9,360,16,2150,2.3,120,36,,0.1,1,,,,,,
MC-1  06/09/1984,,,,,,0,,8.4,3.5,1360,120,38,0.9,370,15,2140,2.3,120,36,,-0.1,0.9,,,,,,
MC-1  13/09/1984,,,,,,0,,8.6,3.5,1350,120,37,0.8,370,15,2140,2.3,120,26,,-0.1,0.9,,,,,,
MC-1  20/09/1984,,,,,,0,,8.4,3.5,1360,120,38,0.8,370,15,2140,2.3,120,34,,-0.1,1,,,,,,
MC-1  28/09/1984,,,,,,0,,8.4,3.5,1380,130,37,0.8,370,15,2140,2.3,120,35,,-0.1,0.9,,,,,,
MC-1  04/10/1984,,,,,,0,,8.4,3.5,1350,130,37,0.9,360,14,2140,2.3,120,35,,-0.1,0.09,,,,,,
MC-2  02/06/1982,,,,,,0,,,,,,,,,,970,,,,,,-0.05,,,,,,
MC-2  03/06/1982,,,,,,0,,,2.3,720,74,28,4.2,230,7.8,,,,,,,,,,,,,
MC-2  03/06/1982,,,,,,0,,8.5,2.3,740,72,33,4.3,240,5.6,990,0.8,200,106,,-0.5,,,,,,,
MC-2  06/06/1982,,,,,,0,,8.5,,,,,,,,960,,,106,,,,,,,,,
MC-2  08/06/1982,,,,,,0,,,2.3,700,72,27,3.7,210,7.7,,,,,,,,,,,,,
MC-2  08/06/1982,,,,,,0,,8.3,,,,,,,,960,,,109,,,0.26,,,,,,
MC-2  21/10/1982  2400,,,,,,0,,,,520,53,29,,170,,720,,,,,,0.23,,,,,,
MC-2  22/10/1982  0800,,,,,,0,,8.8,1.2,400,28,50,1.5,260,3.1,580,0.8,180,30,,-0.5,,,,,,,
MC-2  23/10/1982  1000,,,,,,0,,8.6,2,700,58,58,1.7,430,6.8,1070,1.5,160,42,,-0.5,,,,,,,
MC-2  23/10/1982  0200,,,,,,0,,,,580,49,810,,340,,870,,,,,,0.17,,,,,,
MC-2  23/10/1982  2400,,,,,,0,,,,77,73,50,,430,,1220,,,,,,0.47,,,,,,
MC-2  24/10/1982  1400,,,,,,0,,2.4,2.3,820,77,55,1.8,440,9.4,1340,1.5,160,11,,-0.5,,,,,,,
MC-2  25/10/1982  0600,,,,,,0,,8.7,2.6,950,93,49,0.6,470,10.5,1490,1.6,150,32,,-0.5,0.58,,,,,,
MC-2  25/10/1982  0200,,,,,,0,,,,890,84,56,,480,,1390,,,,,,0.22,,,,,,
MC-2  13/11/1982  1000,,,,,,0,,8.3,3.1,1160,92,130,6.6,270,12.7,1820,1.5,180,41,,-0.5,0.95,,,,,,
MC-2  13/11/1982  1145,,,,,,0,,7.8,6.4,2120,200,450,6.5,240,20.1,7100,2.3,960,56,,1.9,0.75,,,,,,
MC-2  13/11/1982  1400,,,,,,0,,9.1,5.2,2010,180,140,6.3,320,19.9,3010,2.6,420,31,,-0.5,0.77,,,,,,
MC-2  13/11/1982  1600,,,,,,0,,8.5,3,1110,92,100,9.1,410,12.8,1760,1.8,160,42,,-0.5,0.6,,,,,,
MC-2  13/11/1982  1800,,,,,,0,,8.5,13.2,1190,104,180,17,430,12.9,1900,2.2,190,25,,-0.5,,,,,,,
MC-2  13/11/1982  1900,,,,,,0,,7,15,5250,450,760,2.2,130,52,8300,7.2,1400,58,,-0.5,,,,,,,
MC-3  15/10/1982  1700,,,,,,0,,,,590,44,26,,170,,770,,,,,,,,,,,,
MC-3  16/10/1982  1900,,,,,,0,,9.1,1.7,770,52,32,0.8,340,6,850,1.7,420,101,,-0.5,0.06,,,,,,
MC-3  16/10/1982  0100,,,,,,0,,8.8,1.5,660,44,15,0.7,300,4.8,740,1.2,350,107,,-0.5,-0.05,,,,,,
MC-3  16/10/1982  1000,,,,,,0,,,,750,55,24,,300,,820,,,,,,,,,,,,
MC-3  19/10/1982  2000,,,,,,0,,,,1060,76,41,,250,,1370,,,,,,,,,,,,
MC-3  20/10/1982  1600,,,,,,0,,9.6,2.4,1180,78,106,2.7,450,10.4,1360,2.6,590,39,,-0.5,0.26,,,,,,
MC-3  20/10/1982  1000,,,,,,0,,,,1090,84,32,,270,,1430,,,,,,,,,,,,
MC-3  21/10/1982  1000,,,,,,0,,8.5,2.6,1130,79,26,2.9,260,9.6,470,1.2,400,114,,-0.5,0.3,,,,,,
MC-3  21/10/1982  2400,,,,,,0,,,,930,69,25,,340,,1090,,,,,,,,,,,,
MC-3  21/10/1982  1400,,,,,,0,,,,840,63,52,,320,,980,,,,,,,,,,,,
MC-3  25/10/1982  2000,,,,,,0,,8.3,0.7,290,27,50,1.9,240,1.6,250,0.7,370,68,,-0.5,-0.05,,,,,,
MC-3  26/10/1982  0400,,,,,,0,,8.4,1,450,37,26,1.8,290,3.3,450,1,390,87,,-0.5,-0.05,,,,,,
MC-3  26/10/1982  2000,,,,,,0,,9.3,1.7,810,61,118,2.3,380,6.1,900,1.8,550,91,,-0.5,0.12,,,,,,
MC-3  26/10/1982  1200,,,,,,0,,,,620,46,25,,290,,674,,,,,,,,,,,,
MC-3  27/10/1982  0900,,,,,,0,,8.7,1.4,630,51,28,2.4,320,5.1,750,1.2,390,111,,-0.5,0.06,,,,,,
MC-3  27/10/1982  2000,,,,,,0,,,,1000,64,40,,240,,1270,,,,,,,,,,,,
MC-3  28/10/1982  1000,,,,,,0,,9.1,1.7,800,59,12,0.9,290,7.1,960,1.2,390,61,,-0.5,0.13,,,,,,
MC-3  02/11/1982  1400,,,,,,0,,8.8,1.8,770,57,20,1.6,320,6.7,950,1.3,360,101,,-0.5,0.16,,,,,,
MC-3  02/11/1982  2200,,,,,,0,,8.6,1.9,800,58,25,2.2,330,7.3,960,1.4,390,112,,-0.5,0.14,,,,,,
MC-3  09/11/1982  1200 ,,,,,,0,,8.8,2.3,960,70,19,1.4,340,8.9,1330,1.3,340,107,,-0.5,0.42,,,,,,
MC-3  09/11/1982  2000,,,,,,0,,9,2.3,970,66,29,1.9,280,9.3,1270,1.7,390,90,,-0.5,0.4,,,,,,
MC-3  09/11/1982  1600,,,,,,0,,,,970,69,16,,320,,1240,,,,,,,,,,,,
MC-3  11/11/1982  1436,,,,,,0,,8.9,2.3,970,71,13,0.8,300,9.9,1280,1.4,350,120,,-0.5,0.33,,,,,,
MC-3  11/11/1982  1834,,,,,,0,,9,2.4,1010,71,35,1.3,240,9.7,1370,1.9,410,71,,-0.5,0.43,,,,,,
MC-3  11/11/1982  1248,,,,,,0,,,,1100,76,17,,290,,1440,,,,,,,,,,,,
MC-3  11/11/1982  1634,,,,,,0,,,,970,68,12,,320,,1210,,,,,,,,,,,,
