Sample Name,Lab Number,Date,Sample Label,UTM east,UTM north,Elevation,Temp C,pH,Li,Na,K,Ca,Mg,SiO2,B,Cl,F,SO4,HCO3,CO3,NH4,As,Rb,Cs,Sr,Ba,Fe,Mn
"No Good Warm Spring #2 (NSBG 1981; Clark et al, 1980)",,29085,,,,0,29.9,6.65,,,,,,,,,,,379,,,,,,,,,
"No Good Warm Spring #2 (NSBG 1981; Clark et al, 1980)",,29160,,,,0,29.5,6.8,,160,22,82,14,110,,180,,66,300,,,,,,,,,
Boundary Cold Springs (NSBG 1981; Clark et al 1980),,29097,,,,0,4.5,8.31,,4.84,0.54,12.2,5.42,6,,-0.2,,2.02,66.3,,,,,,,,-0.1,0.01
CaCO3 Cold Springs (NSBG 1981; NSBG 1975),,27667,,,,0,8.5,7.96,,3.2,0.16,95,9.6,21,,0.5,,44,278,,,,,,,,,
CaCO3 Cold Springs (NSBG 1981; Shenker 1980),,29160,,,,0,7,7.3,,3,2,120,15,10,,1.2,,47,300,,,,,,,,,
CaCO3 Cold Springs (NSBG 1981; Clark et al 1980),,29028,,,,0,5.6,7.62,,3.2,1.75,98.6,12.5,8.9,,-0.8,,8.95,370,,,,,,,,,
Moria Cold Spring #1 (Clark et al 1980),,29068,,,,0,8.5,7.91,,4.5,3.31,110,38.5,6.7,,0.34,,124,395,,,,,,,,,
Problem Cold Spring #1 (Clark et al 1980),,29007,,,,0,9,7.65,,11.9,5,106,44.9,10.9,,0.8,,36.1,594,,,,,,,,,
Fall Creek Cold Spring #1 (Clark et al 1980),,29068,,,,0,3.9,5.92,,6,1.8,5.4,2.6,52.8,,0.8,,8.55,36.8,,,,,,,,,
L1-78D (78-H-1) Cold Spring #1 (Clark et al 1980),,29007,,,,0,4.6,7.18,,16,0.67,3.5,1.01,36.5,,0.8,,3.48,40.8,,,,,,,,,
Affliction Creek Cold Spring at toe of Afflict Glacier (NSBG 1977),,28034,,,,0,0,6.38,,7.9,2.9,26,6,22,,0.3,,44,41,-0.1,,,,,,,,
"EMR-1 (NSBG 1981; Hammerstrom and Brown, 1977)",,27975,,,,0,56,6.05,,377,46.2,97,34.1,92,,466,,170,458,,,,,,,,0.15,0.65
"EMR-1 (NSBG 1981; Hammerstrom and Brown, 1977)",,28094,,,,0,56.5,6.15,,410,52,105,40.5,96,,500,,180,686,,,,,,,,0.3,0.65
"EMR-1 (NSBG 1981; Michael and Fritz, 1979)",,28772,,,,0,,,,423,51.9,108,37,170,,652,,182,521,,,,,,,,,
"EMR-1 (NSBG 1981; Michael and Fritz, 1979)",,28836,,,,0,,,,423,52.9,109,37,169,,697,,189,413,,,,,,,,,
"EMR-1 (NSBG 1981; Clark et al, 1980)",,29086,,,,0,58.4,6.06,,424,48.4,107,36.2,155,,571,,182,526,,,,,,,,0.14,1.2
"EMR-1 (NSBG 1981; Shenker, 1980)",,29160,,,,0,68.5,6.6,,440,46,120,38,180,,630,0.3,180,430,,,,,,,,,
"M1-74D (NSBG 1981; Clark et al, 1980)",,29088,,,,0,52.3,6.23,3.3,2390,98.1,223,90.3,104,22,2640,,2370,1273,,,,,,,,0.16,0.67
"M1-74D (NSBG 1981; Clark et al, 1980)",,29160,,,,0,56,6.6,,2400,79,400,94,110,,2700,0.9,2200,1000,,,,,,,,,
M2-75D (NSBG 1981; NSBG 1975),,27655,,,,0,10.5,,,20.8,7.8,3.1,14,40,,0.3,,12,183,,,,,,,,,
M2-75D (NSBG 1981; Clark et al 1980),,29107,,,,0,10.1,7.7,,23,6.93,32.9,18,15.5,,0.56,,22.6,233,,,,,,,,0.1,0.5
"M6-79D (NSBG 1981, NSBG 1980)",,29037,,,,0,,,,10.1,6.82,209,41.4,23.8,,0.89,,16.1,883.2,,,,,,,,0.1,0.69
"M6-79D (NSBG 1981, NSBG 1980)",,29068,,,,0,,,,9,11,240,42,52,,0.4,,15,910,,,,,,,,,
M7-79D (NSBG 1981),,29552,,,,0,,8.09,,28,4.2,72,8,14,,40,0.18,47,200,,,,,,,,0.48,0.11
M12-80D (NSBG 1981),,29544,,,,0,,6.53,,2800,130,440,360,110,28.2,3300,,2800,499,,,,,,,,,
M12-80D (NSBG 1981),,29552,,,,0,,7.09,,2800,70,370,280,52,22.8,1900,0.4,2000,2200,,,,,,,,5.3,0.75
MC-1  MM-32,,,,,,0,,6.7,1.7,820,48,410,97,87,9.2,1060,0.15,950,990,,-0.5,0.07,,,,,,
MC-1  MM-35,,,,,,0,,7,2,700,69,3,65,140,7.2,870,0.4,400,966,,-0.5,0.09,,,,,,
MC-1  MM-36,,,,,,0,,7.7,-0.1,24,1.6,15,3.5,21,-1,0.55,-0.1,-5,50,,-0.5,-0.01,,,,,,
MC-1  15/03/1982,,,,,,0,,,,,,,,,,1230,,,,,,,,,,,,
MC-1  17/03/1982,,,,,,0,,8.4,2.5,1050,74,26,0.2,430,7.9,1440,2.9,210,74,,-0.5,0.39,,,,,,
MC-1  24/03/1982,,,,,,0,,,,,,,,,,1270,,,,,,,,,,,,
MC-1  31/03/1982,,,,,,0,,,,,,,,,,1310,,,,,,,,,,,,
MC-1  04/04/1982,,,,,,0,,,,,,,,,,1260,,,,,,,,,,,,
MC-1  20/04/1982,,,,,,0,,,,,,,,,,1410,,,,,,,,,,,,
MC-1  10/06/1982,,,,,,0,,,,,,,,,,1570,,,,,,,,,,,,
MC-1  07/07/1982,,,,,,0,,8.3,3.3,1130,84,36,0.2,320,11,1660,2.1,160,80,,0.8,0.75,,,,,,
MC-1  09/07/1982,,,,,,0,,6.3,3.1,1100,80,31,0.4,350,10.8,1640,2.2,150,53,,0.9,0.65,,,,,,
MC-1  22/07/1982am1,,,,,,0,,8.6,2.9,1160,82,43,0.2,300,9.7,1770,2.2,160,64,,-0.5,0.07,,,,,,
MC-1  22/07/1982pm2,,,,,,0,,8.5,2.5,980,74,42,0.5,300,8.6,1520,2,140,54,,-0.5,0.05,,,,,,
MC-1  22/07/1982web1,,,,,,0,,7.9,2.8,1100,80,44,0.2,280,9.3,1680,2.2,150,79,,-0.5,0.08,,,,,,
MC-1  22/07/1982web2,,,,,,0,,8.2,2.8,1110,82,46,0.3,340,9.2,1690,2.2,150,71,,-0.5,0.13,,,,,,
MC-1  17/08/1982  1000,,,,,,0,,8.3,2.9,1100,88,39,0.6,363,11.8,1780,2.1,140,52,,0.5,0.77,,,,,,
MC-1  10/09/1982  0900,,,,,,0,,8.3,2.5,870,74,134,1.4,370,9.8,1360,1.4,210,245,,-0.5,0.76,,,,,,
MC-1  12/09/1982  0400,,,,,,0,,8.1,3.4,1400,102,60,0.3,324,14.6,2130,2.3,220,119,,-0.5,0.39,,,,,,
MC-1  13/09/1982  1300,,,,,,0,,7.5,13.6,1350,105,91,0.6,280,14.8,2190,2.2,150,32,,-0.5,0.98,,,,,,
MC-1  14/09/1982  1030,,,,,,0,,8.5,3.3,1320,106,73,0.6,171,14,1940,2.6,140,70,,0.5,0.56,,,,,,
MC-1  14/09/1982  1100,,,,,,0,,8.3,3.3,1310,114,62,0.4,168,13.6,1980,2.8,140,50,,-0.5,0.64,,,,,,
MC-1  14/09/1982  1200,,,,,,0,,8.2,3.5,1330,106,54,0.4,159,14.1,2000,2.7,150,50,,-0.5,0.73,,,,,,
MC-1  14/09/1982  1100,,,,,,0,,8,3.2,1140,104,55,0.4,185,12.1,1790,2.6,120,50,,0.7,0.59,,,,,,
