Sample Name,Amorphous Silica
MC-1  02/03/1983  1330,101
MC-1  06/03/1983  0900,104
MC-1  09/03/1983  0900,104
MC-1  13/03/1983  0900,104
MC-1  16/03/1983  0900,104
MC-1  20/03/1983  0900,101
MC-1  23/03/1983  0900,104
MC-1  27/03/1983  0900,110
MC-1  30/03/1983,110
MC-1  03/04/1983,87
MC-1  06/04/1983,101
MC-1  10/04/1983,104
MC-1  14/04/1983 ,104
MC-1  18/04/1983,106
MC-1  21/04/1983,106
MC-1  24/04/1983,104
MC-1  27/04/1983,104
MC-1  01/05/1983,97
MC-1  04/05/1983,101
MC-1  08/05/1983,104
MC-1  12/05/1983  0930,101
MC-1  05/06/1983  0900,101
MC-1  09/06/1983  0900,101
MC-1  12/06/1983  0900,99
MC-1  16/06/1983,108
MC-1  19/06/1983,97
MC-1  22/06/1983,97
MC-1  26/06/1983,94
MC-1  29/06/1983,80
MC-1  03/07/1983,94
MC-1  04/09/1983,99
MC-1  11/09/1983,94
MC-1  18/09/1983,92
MC-1  09/10/1983,94
MC-1  16/10/1983,63
MC-1  23/10/1983,77
MC-1  05/12/1983  0900,80
MC-1  05/12/1983,90
MC-1  11/12/1983  0900,80
MC-1  11/12/1983,74
MC-1  18/12/1983  0900,94
MC-1  18/12/1983,99
MC-1  25/12/1983  0900,94
MC-1  25/12/1983,97
MC-1  01/01/1984  0900,97
MC-1  01/01/1984,97
MC-1  12/01/1984  0900,97
MC-1  15/01/1984  ,97
MC-1  22/01/1984  0900,99
MC-1  22/01/1984,87
MC-1  29/01/1984  0900,99
MC-1  29/01/1984,99
MC-1  15/07/1984,99
MC-1  25/07/1984,99
MC-1  31/07/1984,101
MC-1  09/08/1984,101
MC-1  15/08/1984,99
MC-1  23/08/1984,101
MC-1  31/08/1984,101
MC-1  06/09/1984,101
MC-1  13/09/1984,101
MC-1  20/09/1984,99
MC-1  28/09/1984,#REF!
MC-1  04/10/1984,#REF!
MC-2  02/06/1982,0
MC-2  03/06/1982,66
MC-2  03/06/1982,68
MC-2  06/06/1982,0
MC-2  08/06/1982,59
MC-2  08/06/1982,0
